collision_id,crash_date,crash_time,contributing_factor_vehicle_1,contributing_factor_vehicle_2,number_of_persons_injured,number_of_persons_killed,vehicle_type_code1
4455765,2021-09-11T00:00:00.000,2:39,Aggressive Driving/Road Rage,Unspecified,2,0,Sedan
4513547,2022-03-26T00:00:00.000,11:45,Pavement Slippery,Unspecified,1,0,Sedan
4541903,2022-06-29T00:00:00.000,6:55,Following Too Closely,Unspecified,0,0,Sedan
4456314,2021-09-11T00:00:00.000,9:35,Unspecified,Unspecified,0,0,Sedan
4486609,2021-12-14T00:00:00.000,8:13,Unspecified,Unspecified,0,0,Unspecified
4407458,2021-04-14T00:00:00.000,12:47,Unspecified,Unspecified,0,0,Dump
4486555,2021-12-14T00:00:00.000,17:05,Passing Too Closely,Unspecified,0,0,Sedan
4486660,2021-12-14T00:00:00.000,8:17,Unspecified,Unspecified,2,0,Sedan
4487074,2021-12-14T00:00:00.000,21:10,Driver Inexperience,Unspecified,0,0,Sedan
4486519,2021-12-14T00:00:00.000,14:58,Passing Too Closely,Unspecified,0,0,Sedan
4486934,2021-12-13T00:00:00.000,0:34,Passing or Lane Usage Improper,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4487127,2021-12-14T00:00:00.000,16:50,Turning Improperly,Unspecified,0,0,Sedan
4486634,2021-12-14T00:00:00.000,8:30,Unsafe Lane Changing,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4486564,2021-12-14T00:00:00.000,0:59,Unsafe Speed,Unspecified,0,0,Sedan
4486635,2021-12-14T00:00:00.000,23:10,Reaction to Uninvolved Vehicle,Unspecified,2,0,Sedan
4486604,2021-12-14T00:00:00.000,17:58,Passing Too Closely,Unspecified,0,0,Tanker
4486991,2021-12-14T00:00:00.000,20:03,Steering Failure,Unspecified,4,0,Sedan
4486284,2021-12-14T00:00:00.000,1:28,Traffic Control Disregarded,Unspecified,3,0,Station Wagon/Sport Utility Vehicle
4487040,2021-12-11T00:00:00.000,19:43,Unspecified,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4486537,2021-12-14T00:00:00.000,14:30,Following Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4486905,2021-12-11T00:00:00.000,4:45,Following Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4487122,2021-12-14T00:00:00.000,5:46,Other Vehicular,Other Vehicular,1,0,Station Wagon/Sport Utility Vehicle
4486967,2021-12-13T00:00:00.000,6:30,Unspecified,Unspecified,0,0,Sedan
4486304,2021-12-14T00:00:00.000,3:43,Unspecified,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4487001,2021-12-13T00:00:00.000,17:40,Unspecified,Unspecified,1,0,Sedan
4486516,2021-12-14T00:00:00.000,17:31,Unspecified,Unspecified,1,0,Sedan
4486605,2021-12-14T00:00:00.000,20:13,Passing Too Closely,Unspecified,0,0,Sedan
4487052,2021-12-14T00:00:00.000,12:54,Unspecified,Unspecified,1,0,Sedan
4486556,2021-12-14T00:00:00.000,17:15,Passing or Lane Usage Improper,Unspecified,1,0,Bus
4486875,2021-12-14T00:00:00.000,22:49,Driver Inattention/Distraction,Unspecified,0,0,Taxi
4486933,2021-12-12T00:00:00.000,9:00,Passing Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4486581,2021-12-14T00:00:00.000,16:25,Driver Inattention/Distraction,Driver Inattention/Distraction,1,0,Van
4407520,2021-04-14T00:00:00.000,14:30,Driver Inattention/Distraction,Unspecified,0,0,Bus
4486960,2021-12-16T00:00:00.000,6:59,Traffic Control Disregarded,Unspecified,1,0,Unspecified
4542336,2022-06-29T00:00:00.000,16:00,Driver Inattention/Distraction,Unspecified,1,0,Motorscooter
4407665,2021-04-15T00:00:00.000,16:15,Pavement Slippery,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4456591,2021-07-07T00:00:00.000,11:42,Unsafe Lane Changing,Unspecified,1,0,Sedan
4545699,2022-07-12T00:00:00.000,17:50,Oversized Vehicle,Unspecified,0,0,Sedan
4512922,2022-03-23T00:00:00.000,10:00,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,0,0,Bike
4456659,2021-07-09T00:00:00.000,0:43,Unspecified,Unspecified,0,1,Bus
4521660,2022-04-24T00:00:00.000,16:45,Driver Inattention/Distraction,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4521759,2022-04-24T00:00:00.000,4:49,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4522226,2022-04-22T00:00:00.000,17:17,Traffic Control Disregarded,Unspecified,1,0,E-Bike
4522015,2022-04-24T00:00:00.000,1:30,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4521460,2022-04-24T00:00:00.000,6:00,Unsafe Lane Changing,Unspecified,0,0,Sedan
4522156,2022-04-24T00:00:00.000,21:40,Alcohol Involvement,Unspecified,0,0,Taxi
4521633,2022-04-24T00:00:00.000,17:45,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4522124,2022-04-15T00:00:00.000,6:11,Driver Inattention/Distraction,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4521937,2022-04-24T00:00:00.000,9:51,Unspecified,Unspecified,0,0,Sedan
4521801,2022-04-24T00:00:00.000,0:00,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4522285,2022-03-08T00:00:00.000,20:00,Unspecified,Unspecified,0,0,Sedan
4521853,2022-04-24T00:00:00.000,15:35,View Obstructed/Limited,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4522228,2022-04-22T00:00:00.000,12:00,Unspecified,Unspecified,1,0,Sedan
4521702,2022-04-24T00:00:00.000,13:10,Turning Improperly,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4522167,2022-04-24T00:00:00.000,4:20,Traffic Control Disregarded,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4522196,2022-04-20T00:00:00.000,19:37,Driver Inexperience,Unspecified,0,0,Sedan
4521758,2022-04-24T00:00:00.000,16:14,Unspecified,Unspecified,0,0,Sedan
4522136,2022-04-12T00:00:00.000,19:56,Failure to Yield Right-of-Way,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4521469,2022-04-24T00:00:00.000,0:30,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4521859,2022-04-24T00:00:00.000,20:13,Aggressive Driving/Road Rage,Unspecified,0,0,Sedan
4521590,2022-04-24T00:00:00.000,15:21,Driver Inattention/Distraction,Driver Inattention/Distraction,1,0,Sedan
4521902,2022-04-24T00:00:00.000,10:27,Traffic Control Disregarded,Traffic Control Disregarded,1,0,Sedan
4521684,2022-04-24T00:00:00.000,21:00,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4521858,2022-04-24T00:00:00.000,21:40,Reaction to Uninvolved Vehicle,Unspecified,0,0,Ambulance
4522242,2022-04-07T00:00:00.000,14:14,Driver Inattention/Distraction,Passing or Lane Usage Improper,0,0,Sedan
4456672,2021-06-29T00:00:00.000,17:35,Passing or Lane Usage Improper,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4485150,2021-12-09T00:00:00.000,20:20,Driver Inattention/Distraction,Unspecified,1,0,Bike
4485116,2021-12-09T00:00:00.000,14:50,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4485026,2021-12-09T00:00:00.000,2:45,Alcohol Involvement,Unspecified,1,0,Sedan
4485528,2021-12-06T00:00:00.000,22:16,Unsafe Speed,Unspecified,0,0,Sedan
4485333,2021-12-04T00:00:00.000,12:00,Driver Inattention/Distraction,Driver Inattention/Distraction,0,0,Sedan
4485234,2021-12-08T00:00:00.000,16:20,Failure to Yield Right-of-Way,Unspecified,0,0,Taxi
4485355,2021-12-09T00:00:00.000,23:15,Driver Inattention/Distraction,Driver Inattention/Distraction,1,0,Sedan
4485581,2021-12-01T00:00:00.000,14:34,Unsafe Speed,Unspecified,0,0,Sedan
4485866,2021-12-10T00:00:00.000,7:00,Passing or Lane Usage Improper,Unspecified,0,0,Sedan
4485192,2021-12-07T00:00:00.000,9:20,Steering Failure,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4485214,2021-12-09T00:00:00.000,8:00,Following Too Closely,Unspecified,0,0,Sedan
4485437,2021-12-07T00:00:00.000,17:08,Following Too Closely,Unspecified,0,0,Unspecified
4485408,2021-12-05T00:00:00.000,8:20,Unspecified,Unspecified,0,0,Sedan
4484852,2021-12-08T00:00:00.000,19:30,Following Too Closely,Reaction to Uninvolved Vehicle,1,0,Station Wagon/Sport Utility Vehicle
4485542,2021-12-08T00:00:00.000,12:00,Passing or Lane Usage Improper,Unspecified,1,0,Box Truck
4485170,2021-12-10T00:00:00.000,8:06,Unsafe Lane Changing,Unspecified,0,0,Garbage or Refuse
4485523,2021-12-08T00:00:00.000,19:30,Unsafe Speed,Unspecified,4,0,Taxi
4484906,2021-12-08T00:00:00.000,22:37,Pavement Slippery,Unspecified,0,0,Sedan
4485036,2021-12-08T00:00:00.000,17:56,Unspecified,Unspecified,0,0,Sedan
4485772,2021-12-07T00:00:00.000,7:50,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4485565,2021-12-08T00:00:00.000,0:44,View Obstructed/Limited,Unspecified,0,0,Sedan
4484836,2021-12-08T00:00:00.000,15:00,Passing Too Closely,Unspecified,0,0,Sedan
4485340,2021-12-10T00:00:00.000,11:00,Oversized Vehicle,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4485706,2021-12-10T00:00:00.000,1:10,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4485384,2021-12-09T00:00:00.000,0:00,Unspecified,Unspecified,1,0,Sedan
4484799,2021-12-08T00:00:00.000,18:36,Passing or Lane Usage Improper,Unspecified,0,0,Sedan
4485077,2021-12-09T00:00:00.000,20:30,Illnes,Unspecified,0,0,Sedan
4485090,2021-12-09T00:00:00.000,10:13,Traffic Control Disregarded,Traffic Control Disregarded,2,0,Sedan
4513697,2022-03-26T00:00:00.000,14:00,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4513935,2022-03-26T00:00:00.000,1:02,Traffic Control Disregarded,Unspecified,1,0,Sedan
4513794,2022-03-26T00:00:00.000,16:02,Lost Consciousness,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4514267,2022-03-26T00:00:00.000,16:05,Following Too Closely,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4514237,2022-03-21T00:00:00.000,12:05,Following Too Closely,Unspecified,1,0,Motorcycle
4513470,2022-03-26T00:00:00.000,5:13,Failure to Yield Right-of-Way,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4513751,2022-03-26T00:00:00.000,17:42,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4514075,2022-03-26T00:00:00.000,12:18,Failure to Yield Right-of-Way,Unspecified,2,0,Station Wagon/Sport Utility Vehicle
4513857,2022-03-26T00:00:00.000,20:10,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4514202,2022-03-26T00:00:00.000,15:45,Alcohol Involvement,Unspecified,2,0,Station Wagon/Sport Utility Vehicle
4514347,2022-03-26T00:00:00.000,17:55,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4513495,2022-03-26T00:00:00.000,0:50,Unsafe Speed,Unspecified,0,0,Sedan
4513874,2022-03-26T00:00:00.000,14:05,Unsafe Speed,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4514263,2022-03-26T00:00:00.000,9:30,Unspecified,Unspecified,0,0,Sedan
4514323,2022-03-10T00:00:00.000,8:30,Other Vehicular,Following Too Closely,4,0,Station Wagon/Sport Utility Vehicle
4514182,2022-03-24T00:00:00.000,23:00,Unspecified,Unspecified,1,0,Sedan
4513515,2022-03-26T00:00:00.000,7:36,Brakes Defective,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4513663,2022-03-26T00:00:00.000,11:50,Failure to Yield Right-of-Way,Unspecified,2,0,Station Wagon/Sport Utility Vehicle
4513953,2022-03-26T00:00:00.000,17:42,Passing Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4513985,2022-03-26T00:00:00.000,1:45,Driver Inattention/Distraction,Driver Inattention/Distraction,0,0,Sedan
4514084,2022-03-26T00:00:00.000,17:00,Passing or Lane Usage Improper,Unspecified,0,0,Sedan
4514144,2022-02-25T00:00:00.000,11:48,Following Too Closely,Following Too Closely,0,0,E-Scooter
4513606,2022-03-26T00:00:00.000,22:51,Failure to Yield Right-of-Way,Unspecified,1,0,Sedan
4513564,2022-03-26T00:00:00.000,8:21,Driver Inattention/Distraction,Unspecified,0,0,Box Truck
4514412,2022-03-17T00:00:00.000,8:00,Traffic Control Disregarded,Unspecified,1,0,Sedan
4513587,2022-03-26T00:00:00.000,10:30,Backing Unsafely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
